,Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Publication.Date
749,Accident,Non-Fatal,Substantial,Helicopter,Robinson,R-22,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Descent,01-05-1983
750,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,01-05-1983
751,Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Maneuvering,01-05-1983
752,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-23,2.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,01-05-1983
753,Accident,Non-Fatal,Substantial,Airplane,Mooney,M20E,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,01-05-1983
754,Accident,Non-Fatal,Substantial,Airplane,Beech,C35,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,01-05-1983
755,Accident,Non-Fatal,Substantial,Airplane,Cessna,172E,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,01-05-1983
756,Accident,Non-Fatal,Substantial,Airplane,Cessna,A188,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,0.0,Takeoff,01-05-1983
757,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-18A,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,01-05-1983
758,Accident,Non-Fatal,Substantial,Helicopter,Robinson,R-22HP,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,Landing,01-05-1983
759,Accident,Non-Fatal,Substantial,Airplane,Cessna,TU-206A,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Unknown,01-05-1983
760,Accident,Non-Fatal,Destroyed,Airplane,Rayan,NAV-4,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,02-05-1983
761,Accident,Fatal(1),Destroyed,Airplane,Starfire,JRF,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Landing,02-05-1983
762,Accident,Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Takeoff,02-05-1983
763,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,02-05-1983
764,Accident,Non-Fatal,Substantial,Airplane,Grumman,AA-5B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,02-05-1983
765,Accident,Non-Fatal,Substantial,Helicopter,Hiller,UH-12A,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,02-05-1983
766,Accident,Non-Fatal,Substantial,Airplane,Beech,35-33,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,02-05-1983
767,Accident,Non-Fatal,Substantial,Airplane,Beech,M35,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Cruise,02-05-1983
768,Accident,Non-Fatal,Substantial,Airplane,Osprey,2,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Approach,02-05-1983
769,Accident,Non-Fatal,Substantial,Airplane,Boeing,E75,1.0,Reciprocating,Ferry,0.0,0.0,1.0,0.0,Cruise,02-05-1983
770,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,02-05-1983
